#Ma	Ra	avg_velo[]	positive_stream_area_fraction[]
100.0	23000.0	27.61871345787368	0.0
100.0	23000.0	31.83671128578273	0.0
100.0	23000.0	30.869483023605955	0.0
100.0	23000.0	30.9600600043928	0.0
100.0	23000.0	30.915823750672864	0.0
100.0	23000.0	30.866571893978357	0.0
100.0	23000.0	30.861520879638306	0.0
100.0	23000.0	30.860761711735666	0.0
100.0	23000.0	30.860426859079556	0.0
100.0	23000.0	30.861171139464922	0.0
100.0	23000.0	30.861756712144526	0.0
100.0	23000.0	30.862056334543173	0.0
100.0	23000.0	30.86221391833448	0.0
100.0	23000.0	30.86228444596892	0.0
100.0	23000.0	30.86230961703788	0.0
100.0	23000.0	30.862316776586077	0.0
100.0	23000.0	30.86231756432438	0.0
100.0	23000.0	30.86231662815412	0.0
100.0	23000.0	30.862315654597346	0.0
100.0	23000.0	30.862315014025203	0.0
100.0	23000.0	30.86231466651263	0.0
100.0	23000.0	30.862314503646076	0.0
100.0	23000.0	30.862314437652575	0.0
100.0	23000.0	30.862314415607468	0.0
100.0	23000.0	30.862314410780485	0.0
100.0	23000.0	30.86231441138054	0.0
100.0	23000.0	30.862314412951736	0.0
100.0	23000.0	30.86231441418827	0.0
100.0	23000.0	30.862314414922622	0.0
100.0	23000.0	30.862314415292673	0.0
100.0	23000.0	30.862314415454904	0.0
100.0	23000.0	30.862314415515566	0.0
100.0	23000.0	30.862314415533053	0.0
100.0	23000.0	30.862314415535096	0.0
100.0	23000.0	30.86231441553303	0.0
100.0	23000.0	30.862314415530832	0.0
100.0	23000.0	30.862314415529386	0.0
100.0	23000.0	30.862314415528544	0.0
100.0	23000.0	30.86231441552817	0.0
100.0	23000.0	30.862314415528	0.0
100.0	23000.0	30.86231441552797	0.0
100.0	23000.0	30.862314415527955	0.0
100.0	23000.0	30.86231441552795	0.0
100.0	23000.0	30.862314415527923	0.0
100.0	23000.0	30.862314415527983	0.0
100.0	23000.0	30.862314415527994	0.0
100.0	23000.0	30.86231441552792	0.0
100.0	23000.0	30.862314415527955	0.0
100.0	23000.0	30.86231441552799	0.0
100.0	23000.0	30.86231441552795	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.862314415527983	0.0
100.0	23000.0	30.86231441552796	0.0
100.0	23000.0	30.86231441552796	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.862314415527955	0.0
100.0	23000.0	30.86231441552795	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.86231441552796	0.0
100.0	23000.0	30.862314415527948	0.0
100.0	23000.0	30.862314415527983	0.0
100.0	23000.0	30.862314415527955	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.862314415527976	0.0
100.0	23000.0	30.86231441552797	0.0
100.0	23000.0	30.862314415527962	0.0
100.0	23000.0	30.862314415527948	0.0
100.0	23000.0	30.862314415527972	0.0
100.0	23000.0	30.862314415527976	0.0
100.0	23000.0	30.86231441552796	0.0
100.0	23000.0	30.862314415527994	0.0
100.0	23000.0	30.862314415527955	0.0
100.0	23000.0	30.862314415527962	0.0
100.0	23000.0	30.862314415527948	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.86231441552797	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.862314415527983	0.0
100.0	23000.0	30.862314415527976	0.0
100.0	23000.0	30.86231441552796	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.862314415527972	0.0
100.0	23000.0	30.862314415527965	0.0
100.0	23000.0	30.862314415527944	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.862314415527983	0.0
100.0	23000.0	30.86231441552798	0.0
100.0	23000.0	30.862314415527983	0.0
100.0	23000.0	30.86231441552795	0.0
100.0	23000.0	30.862314415527997	0.0
100.0	23000.0	30.86231441552796	0.0
100.0	23000.0	30.86231441552797	0.0
100.0	23000.0	30.862314415527948	0.0
100.0	23000.0	30.862314415527976	0.0
100.0	23000.0	30.862314415527933	0.0
100.0	23000.0	30.862314415527933	0.0
