#Ma	Ra
3.082353020065879	100.0
3.083251321384304	100.1
3.084598762660864	100.24999960372801
3.086619821805051	100.47499845107586
3.089651221156949	100.81249585355204
3.0941978928094187	101.31873999315012
3.1010169343300875	102.07810175348918
3.111243308504149	103.21713428318789
3.126577897087371	104.92565999120427
3.149568425444154	107.48839547823032
3.1840281144723104	111.33237551539469
3.2356570613335394	117.09805584918409
3.312958017317441	125.74588318724511
3.428568737964627	138.71593040102687
3.6011530196684425	158.1667634214289
3.8579523715074506	187.33216874492166
4.2378592394098735	231.05214964866698
4.794087627891403	296.561396982865
5.593508319779293	394.64491826692813
6.706590878418847	541.3549543495978
8.179973178157542	760.6099769250912
9.990857944914158	1088.3114185293782
12.004004727447658	1578.9724978581226
13.995699175301255	2316.077776881694
15.748634804841128	3425.3525685143745
15.226111830324736	3909.1068133396598
13.939500587151276	4047.0427836261915
13.33055708293643	4070.522106599724
13.013136845301824	4079.1915703026016
12.957163372846678	4080.030580947602
11.648305708725452	4077.601630898294
11.623501532508179	4077.747638194898
11.59429679922892	4077.188646244036
11.577112690899344	4076.6691827608634
11.549375276118859	4075.990937533517
11.46606986581898	4075.052237651559
11.385609783986364	4073.4464860628873
11.163194411313292	4071.235533904614
11.03669887730959	4066.2557790153605
10.84796614703442	4061.2545117815816
10.20838238247211	4047.2344208502504
9.949311170973779	4043.339947654013
9.90404517365427	4041.142958348536
9.861548011779494	4038.580216520166
9.784999239590675	4034.7439082555175
9.581161303559634	4029.7866383245632
9.456468421368557	4025.3905375870754
9.224733711739205	4019.008997790549
9.146665729858503	4015.1802867289853
9.035773387098251	4009.290665893297
8.801087566753267	4000.5037948706827
8.674280844982578	3994.709915499077
8.433817752739456	3986.163902021094
8.319615876971618	3980.394016847397
7.994585315453744	3971.2153801980908
7.880795583699011	3966.513928599245
7.904494979511436	3968.2228943245686
7.95077736025589	3970.828073135166
8.122077254676437	3974.625067212516
8.319232647677191	3980.3845605363567
8.491602810149143	3987.7857196194623
8.642177505888506	3993.9490612960935
8.942258899294306	4004.0641593790133
9.195149200571718	4017.48818525496
9.467449951051993	4025.6715015295654
9.879975795146464	4039.671786693707
10.31541379358636	4052.8003768661906
10.667473028795634	4060.3648286581756
11.042136765233627	4066.47182173105
11.367761792899312	4073.2654176182095
12.018457031668055	4079.921431034788
13.130175595272545	4076.008158538824
13.241005548096766	4073.3603817950925
13.379744624193131	4069.5634285102096
13.67885133986149	4062.1490916694565
13.834552463275081	4053.6738730032084
14.153337643131962	4038.256151475161
14.439856845097735	4018.364984299739
14.74204518788919	3987.1120856237876
15.073861860827959	3943.516457735915
15.364483450019602	3875.088680507587
15.628581656383451	3774.643114297596
15.790097508571336	3625.0219064041603
15.730624381565917	3400.9023839452407
15.3285759652201	3065.7423952033023
14.493037098098394	2564.7365221373816
12.731720511353789	1809.280416159595
7.443695108779235	646.8654459424433
-0.8891527397984791	-491.8072700235375
-2.4526146680515164	-1240.3406057458656
-2.9098189247302892	-1463.5196928620612
-3.2018036559329204	-1610.8571381074898
-3.3686818629428936	-1709.3535710335445
-3.6503753963508574	-1857.9271269169808
-3.780062196608888	-1922.7468052742497
-3.851671713172331	-1966.513388077218
-3.957056546094103	-2032.1844909824936
-4.114237329042368	-2130.7233364028125
-4.360140619489086	-2278.706723893224
-4.700533223731849	-2500.237385881397
-5.193155162947269	-2832.667249078975
-5.892465245908654	-3331.232295436668
-6.880353776567579	-4079.1393021788613
-8.263430544777417	-5201.077287697946
-10.136660358604722	-6883.234963476079
-12.445729878586048	-9406.288748889083
-15.213386168450729	-13182.898164264825
-16.86065719787694	-15705.938859977874
-19.30775600125791	-19501.512282416657
-21.38681797477814	-23287.136465654276
-24.039712545406335	-28969.24071609011
-27.840389468840975	-37496.21132956768
-32.51359572821998	-50282.55133205548
-38.19485709350677	-69461.10649054228
-45.217127667306535	-98234.69674385899
-53.52311468671511	-141395.25680192563
-63.55961914378764	-206136.89753254227
-76.00149881639538	-303249.03543758823
-91.68817706814795	-448916.7769590161
-110.49859688580976	-667410.8224138796
-133.30430157758633	-995147.3800362153
