#Ma	Ra	avg_velo[]	positive_stream_area_fraction[]
1.0	1.0	0.16413219343219626	0.0
1.0	1.5848931924611136	0.16344147228852549	0.0
1.0	2.51188643150958	0.16234606482232938	0.0
1.0	3.981071705534973	0.16060826889804203	0.0
1.0	6.309573444801933	0.15784994074835176	0.0
1.0	10.0	0.1534685868673451	0.0
1.0	15.848931924611142	0.14650290216810755	0.0
1.0	25.11886431509581	0.13542274341398886	0.0
1.0	39.810717055349734	0.11783856630635053	0.0
1.0	63.09573444801933	0.09047964505146756	0.0
1.0	100.0	0.05523443204341466	0.4091233976316886
1.0	158.48931924611142	0.08360547964684187	0.9233348584383021
1.0	251.18864315095823	0.2358120518133559	0.988863614258417
1.0	398.1071705534973	0.5602806393025941	0.9984129456112052
1.0	630.9573444801937	1.3207716513758472	0.9999270994681412
1.0	1000.0	3.0549542162539467	1.0
1.0	1584.893192461114	5.513687937952149	1.0
1.0	2511.886431509582	8.291709385937011	1.0
1.0	3981.0717055349733	11.48895547320484	1.0
1.0	6309.573444801937	15.291134726289062	1.0
1.0	10000.0	19.90454268270703	1.0
1.0	15848.93192461114	25.557179065493997	1.0
1.0	25118.864315095823	32.49857228845008	1.0
1.0	39810.71705534977	40.99740167757371	1.0
1.0	63095.73444801943	51.340568595228966	1.0
1.0	100000.0	63.833024773673	1.0
1.5848931924611136	100000.0	63.8357587655697	1.0
1.5848931924611136	63095.73444801943	51.34347133794484	1.0
1.5848931924611136	39810.71705534977	41.00039684943775	1.0
1.5848931924611136	25118.864315095823	32.50152477965673	1.0
1.5848931924611136	15848.93192461114	25.559828000230716	1.0
1.5848931924611136	10000.0	19.906364170942677	1.0
1.5848931924611136	6309.573444801937	15.291053349608383	1.0
1.5848931924611136	3981.0717055349733	11.484704331386052	1.0
1.5848931924611136	2511.886431509582	8.278178196801631	1.0
1.5848931924611136	1584.893192461114	5.477755666638967	1.0
1.5848931924611136	1000.0	2.9636970442017234	1.0
1.5848931924611136	630.9573444801937	1.1854276195579811	0.9990123233285554
1.5848931924611136	398.1071705534973	0.44074840733769843	0.9904774560602205
1.5848931924611136	251.18864315095823	0.14301664057329286	0.9298754235775872
1.5848931924611136	158.48931924611142	0.0885393396425022	0.39972963200366013
1.5848931924611136	100.0	0.14703834442772812	0.0
1.5848931924611136	63.09573444801933	0.1906265137901791	0.0
1.5848931924611136	39.810717055349734	0.2180142216265281	0.0
1.5848931924611136	25.11886431509581	0.23504680199659667	0.0
1.5848931924611136	15.848931924611142	0.24566989881988646	0.0
1.5848931924611136	10.0	0.2523193080773834	0.0
1.5848931924611136	6.309573444801933	0.2564929052398566	0.0
1.5848931924611136	3.981071705534973	0.25911723799924735	0.0
1.5848931924611136	2.51188643150958	0.26076950895965717	0.0
1.5848931924611136	1.5848931924611136	0.26181059146388513	0.0
1.5848931924611136	1.0	0.26246689883475316	0.0
2.51188643150958	1.0	0.4205017202290254	0.0
2.51188643150958	1.5848931924611136	0.41990325315300414	0.0
2.51188643150958	2.51188643150958	0.41895377064985523	0.0
2.51188643150958	3.981071705534973	0.4174464935729612	0.0
2.51188643150958	6.309573444801933	0.4150514628484915	0.0
2.51188643150958	10.0	0.4112401032833668	0.0
2.51188643150958	15.848931924611142	0.40516018507777984	0.0
2.51188643150958	25.11886431509581	0.39542594836068296	0.0
2.51188643150958	39.810717055349734	0.3797505759323119	0.0
2.51188643150958	63.09573444801933	0.3542880207364864	0.0
2.51188643150958	100.0	0.31243927945339917	0.0
2.51188643150958	158.48931924611142	0.2432076439196356	0.0
2.51188643150958	251.18864315095823	0.1431892080108446	0.37958771275499564
2.51188643150958	398.1071705534973	0.26205984578318614	0.940641889895277
2.51188643150958	630.9573444801937	0.9570067686704028	0.9943599214070931
2.51188643150958	1000.0	2.8071689937714597	0.9994127400459987
2.51188643150958	1584.893192461114	5.419106288714617	1.0
2.51188643150958	2511.886431509582	8.256467356782197	1.0
2.51188643150958	3981.0717055349733	11.477911102206317	1.0
2.51188643150958	6309.573444801937	15.29090358579888	1.0
2.51188643150958	10000.0	19.909238881142105	1.0
2.51188643150958	15848.93192461114	25.56401721127651	1.0
2.51188643150958	25118.864315095823	32.50619694085653	1.0
2.51188643150958	39810.71705534977	41.005139730327954	1.0
2.51188643150958	63095.73444801943	51.34806903747851	1.0
2.51188643150958	100000.0	63.84008990209659	1.0
3.981071705534973	100000.0	63.84694935882875	1.0
3.981071705534973	63095.73444801943	51.355348703267936	1.0
3.981071705534973	39810.71705534977	41.01264614464881	1.0
3.981071705534973	25118.864315095823	32.51358766839109	1.0
3.981071705534973	15848.93192461114	25.570635013238036	1.0
3.981071705534973	10000.0	19.91376231887566	1.0
3.981071705534973	6309.573444801937	15.290609941550217	1.0
3.981071705534973	3981.0717055349733	11.466992394158058	1.0
3.981071705534973	2511.886431509582	8.221353871233589	1.0
3.981071705534973	1584.893192461114	5.3214094640409675	0.9996861061287644
3.981071705534973	1000.0	2.51993146024386	0.9974050003851564
3.981071705534973	630.9573444801937	0.569122482378547	0.9589239680475466
3.981071705534973	398.1071705534973	0.23627385952319277	0.3362248128839508
3.981071705534973	251.18864315095823	0.41598402875381874	0.0
3.981071705534973	158.48931924611142	0.5236667547829738	0.0
3.981071705534973	100.0	0.5844366302324926	0.0
3.981071705534973	63.09573444801933	0.6200673487314313	0.0
3.981071705534973	39.810717055349734	0.6415381386583439	0.0
3.981071705534973	25.11886431509581	0.6547015329566516	0.0
3.981071705534973	15.848931924611142	0.6628589826707622	0.0
3.981071705534973	10.0	0.6679485589203347	0.0
