100.001	17473.240318528242
100.0024999782168	17473.355508969973
100.00475002277463	17473.528295311524
100.00812508862046	17473.787473010863
100.01318766735146	17474.176234112496
100.02078134252345	17474.759352155626
100.03217248768954	17475.634057997337
100.04925867073818	17476.946031199073
100.07488752655493	17478.913858725056
100.11333227391201	17481.865487215728
100.17099978044575	17486.29245317258
100.25750214245846	17492.93184825126
100.38725935497787	17502.888664069727
100.58190557736651	17517.818940745896
100.87388139274223	17540.201959639362
101.31188721142843	17573.75082429498
101.96898303083249	17624.01618001743
102.95482547695529	17699.285351699593
104.433999129849	17811.900592064118
106.65366418196736	17980.186989982667
109.98510333156308	18231.222353427886
114.98631622704438	18604.757005513038
122.49620311595856	19158.625026797163
133.7768267879428	19976.06092117318
150.72652917360912	21175.23861711637
176.19846352275007	22921.48848405051
214.47586611812082	25443.065226747724
271.97320804156675	29051.96876928221
358.28683070576966	34174.55305039584
487.76333699312335	41398.450419656736
681.8801269356325	51546.03636960111
972.8173079181915	65780.99084957033
1408.8742209382115	85760.25531823224
