#Ma	Ra	avg_velo[]	positive_stream_area_fraction[]
1.0	1.0	0.16413219343215393	0.0
100.0	17473.163707424294	27.254477121081095	0.0
100.001	17473.240318528242	27.254566142142078	0.0
100.0024999782168	17473.355508969973	27.254699866544808	0.0
100.00475002277463	17473.528295311524	27.25490045539841	0.0
100.00812508862046	17473.787473010863	27.25520133499885	0.0
100.01318766735146	17474.176234112496	27.255652644531953	0.0
100.02078134252345	17474.759352155626	27.256329573451733	0.0
100.03217248768954	17475.634057997337	27.257344982300786	0.0
100.04925867073818	17476.946031199073	27.25886795589546	0.0
100.07488752655493	17478.913858725056	27.261152171971908	0.0
100.11333227391201	17481.865487215728	27.26457816097531	0.0
100.17099978044575	17486.29245317258	27.269716131891347	0.0
100.25750214245846	17492.93184825126	27.27742083274844	0.0
100.38725935497787	17502.888664069727	27.288972921462584	0.0
100.58190557736651	17517.818940745896	27.30629010161867	0.0
100.87388139274223	17540.201959639362	27.332239793561662	0.0
101.31188721142843	17573.75082429498	27.37110834534688	0.0
101.96898303083249	17624.01618001743	27.42928533333946	0.0
102.95482547695529	17699.285351699593	27.51627061197539	0.0
104.433999129849	17811.900592064118	27.646123697098123	0.0
106.65366418196736	17980.186989982667	27.839525172036115	0.0
109.98510333156308	18231.222353427886	28.12661272656328	0.0
114.98631622704438	18604.757005513038	28.550733386885575	0.0
122.49620311595856	19158.625026797163	29.17309864573057	0.0
133.7768267879428	19976.06092117318	30.078100263220097	0.0
150.72652917360912	21175.23861711637	31.37852774088849	0.0
176.19846352275007	22921.48848405051	33.219728132077805	0.0
214.47586611812082	25443.065226747724	35.782149324640166	0.0
271.97320804156675	29051.96876928221	39.28271734011864	0.0
358.28683070576966	34174.55305039584	43.97876428960885	0.0
487.76333699312335	41398.450419656736	50.178137961505286	0.0
681.8801269356325	51546.03636960111	58.259070486926525	0.0
972.8173079181915	65780.99084957033	68.69715763991314	0.0
